tensor(4.2435, grad_fn=<DivBackward0>)
tensor(5.8777, grad_fn=<DivBackward0>)
tensor(3.7690, grad_fn=<DivBackward0>)
tensor(5.5051, grad_fn=<DivBackward0>)
tensor(3.5313, grad_fn=<DivBackward0>)
tensor(4.6173, grad_fn=<DivBackward0>)
tensor(3.3142, grad_fn=<DivBackward0>)
tensor(3.9641, grad_fn=<DivBackward0>)
tensor(4.2376, grad_fn=<DivBackward0>)
tensor(4.5840, grad_fn=<DivBackward0>)
tensor(3.8540, grad_fn=<DivBackward0>)
tensor(4.9002, grad_fn=<DivBackward0>)
tensor(3.4161, grad_fn=<DivBackward0>)
tensor(4.2051, grad_fn=<DivBackward0>)
tensor(2.8625, grad_fn=<DivBackward0>)
tensor(4.3515, grad_fn=<DivBackward0>)
tensor(3.2143, grad_fn=<DivBackward0>)
tensor(3.6415, grad_fn=<DivBackward0>)
tensor(3.5612, grad_fn=<DivBackward0>)
tensor(4.1990, grad_fn=<DivBackward0>)
tensor(3.2201, grad_fn=<DivBackward0>)
tensor(3.5847, grad_fn=<DivBackward0>)
tensor(2.5522, grad_fn=<DivBackward0>)
tensor(3.4362, grad_fn=<DivBackward0>)
tensor(3.6009, grad_fn=<DivBackward0>)
tensor(3.4832, grad_fn=<DivBackward0>)
tensor(3.5389, grad_fn=<DivBackward0>)
tensor(3.6874, grad_fn=<DivBackward0>)
tensor(2.9137, grad_fn=<DivBackward0>)
tensor(3.8964, grad_fn=<DivBackward0>)
tensor(2.9953, grad_fn=<DivBackward0>)
tensor(4.0811, grad_fn=<DivBackward0>)
tensor(3.3582, grad_fn=<DivBackward0>)
tensor(4.6924, grad_fn=<DivBackward0>)
tensor(2.8194, grad_fn=<DivBackward0>)
tensor(3.7377, grad_fn=<DivBackward0>)
tensor(2.5125, grad_fn=<DivBackward0>)
tensor(3.2527, grad_fn=<DivBackward0>)
tensor(2.7703, grad_fn=<DivBackward0>)
tensor(3.3858, grad_fn=<DivBackward0>)
tensor(2.4683, grad_fn=<DivBackward0>)
tensor(3.5670, grad_fn=<DivBackward0>)
tensor(2.6454, grad_fn=<DivBackward0>)
tensor(3.5410, grad_fn=<DivBackward0>)
tensor(3.1087, grad_fn=<DivBackward0>)
tensor(4.1741, grad_fn=<DivBackward0>)
tensor(3.2414, grad_fn=<DivBackward0>)
tensor(4.0676, grad_fn=<DivBackward0>)
tensor(2.6120, grad_fn=<DivBackward0>)
tensor(3.8610, grad_fn=<DivBackward0>)
tensor(2.8028, grad_fn=<DivBackward0>)
tensor(4.0816, grad_fn=<DivBackward0>)
tensor(3.3878, grad_fn=<DivBackward0>)
tensor(4.0163, grad_fn=<DivBackward0>)
tensor(3.1360, grad_fn=<DivBackward0>)
tensor(4.0693, grad_fn=<DivBackward0>)
tensor(2.9165, grad_fn=<DivBackward0>)
tensor(3.8302, grad_fn=<DivBackward0>)
tensor(2.9362, grad_fn=<DivBackward0>)
tensor(3.1314, grad_fn=<DivBackward0>)
tensor(2.8125, grad_fn=<DivBackward0>)
tensor(2.6691, grad_fn=<DivBackward0>)
tensor(2.4252, grad_fn=<DivBackward0>)
tensor(2.8879, grad_fn=<DivBackward0>)
tensor(2.5887, grad_fn=<DivBackward0>)
